Metrica,Valore
Numero di Coppie Elaborate,100.0
Coppie Saltate,0.0
Media ImageBind Score,0.03659211452119052
Mediana ImageBind Score,0.028909046202898026
Deviazione Standard ImageBind Score,0.05971601751825309
Minimo ImageBind Score,-0.08591277152299881
Massimo ImageBind Score,0.204475536942482
