Filename Audio,Similarita Coseno
000002.mp3,0.3498784
000005.mp3,0.31041127
000010.mp3,0.30205396
000140.mp3,0.28765252
000141.mp3,0.3129444
000148.mp3,0.08203043
000182.mp3,0.20754981
000190.mp3,0.36549526
000193.mp3,0.38096145
000194.mp3,0.20761314
000197.mp3,0.31748804
000200.mp3,0.20800437
000203.mp3,0.47819325
000204.mp3,0.38535574
000207.mp3,0.25152504
000210.mp3,0.26595938
000211.mp3,0.1213603
000212.mp3,0.2986083
000213.mp3,0.2355799
000255.mp3,0.14405459
000256.mp3,0.18173
000368.mp3,0.20447528
000424.mp3,0.2684286
000459.mp3,0.30607927
000534.mp3,0.32769278
000540.mp3,0.25831658
000546.mp3,0.37193084
000574.mp3,0.25718334
000602.mp3,0.43901855
000615.mp3,0.31881166
000620.mp3,0.4137878
000621.mp3,0.28301495
000625.mp3,0.30823
000666.mp3,0.36809582
000667.mp3,0.28162843
000676.mp3,0.4111529
000690.mp3,0.29812205
000694.mp3,0.28891844
000695.mp3,0.07975278
000704.mp3,0.23593281
000705.mp3,0.39124528
000706.mp3,0.21216339
000707.mp3,0.35348698
000708.mp3,0.29042712
000709.mp3,0.29016247
000714.mp3,0.31999612
000715.mp3,0.26375565
000716.mp3,0.28475237
000718.mp3,0.19806124
000777.mp3,0.03400786
000814.mp3,0.34373382
000821.mp3,0.38677686
000822.mp3,0.3524766
000825.mp3,0.41733664
000853.mp3,0.25543258
000890.mp3,0.31730855
000892.mp3,0.38572899
000897.mp3,0.101796985
000993.mp3,0.15654005
000995.mp3,0.092683904
000997.mp3,0.35595322
000998.mp3,0.0007843701
005006.mp3,0.33843118
005156.mp3,0.4448015
005157.mp3,0.36023095
005158.mp3,0.21938306
005159.mp3,0.48130047
005169.mp3,0.37979543
005170.mp3,0.47672424
005171.mp3,0.46474546
005191.mp3,0.09465101
005264.mp3,0.30315143
005268.mp3,0.2909932
005376.mp3,0.31114292
005381.mp3,0.15930402
005521.mp3,0.18336195
005879.mp3,0.18975616
005936.mp3,0.21979296
005940.mp3,0.33054528
025028.mp3,0.20693974
025029.mp3,0.19285616
025030.mp3,0.027576655
025031.mp3,0.26648876
025032.mp3,0.20391434
025033.mp3,0.3517791
025055.mp3,0.3061498
025063.mp3,0.21197897
025066.mp3,0.45624164
025104.mp3,0.16467503
025124.mp3,0.3458226
025215.mp3,0.18662821
025216.mp3,0.11657367
025227.mp3,0.33752644
025232.mp3,0.44935346
025233.mp3,0.3739274
025234.mp3,0.055034086
025235.mp3,0.40173396
025324.mp3,0.42839962
025378.mp3,0.21574774
025601.mp3,0.29898682
